,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L,net p&l,funds
21,JSWSTEEL,2022-01-11 10:15:00,2022-01-11 09:45:00,658.4,654.25,2022-01-11 09:45:00,2022-01-11 10:15:00,658.4,654.25,654.25,658.4,StopLoss,lower,654.25,-4.149999999999977,-489.6999999999973,98257.67999999998
22,OBEROIRLTY,2022-01-12 09:45:00,2022-01-12 12:30:00,969.9,961.0,2022-01-12 09:45:00,2022-01-12 12:30:00,961.0,969.9,961.0,969.9,StopLoss,upper,969.9,-8.899999999999977,-489.49999999999875,98088.97999999998
23,DLF,2022-01-12 09:45:00,2022-01-12 15:00:00,426.0,422.1,2022-01-12 09:45:00,2022-01-12 15:00:00,422.1,418.9,422.1,418.9,DayEnd,upper,426.0,3.2000000000000455,400.0000000000057,98088.97999999998
24,PRESTIGE,2022-01-12 09:45:00,2022-01-12 15:00:00,501.65,488.3,2022-01-12 09:45:00,2022-01-12 15:00:00,488.3,470.75,488.3,470.75,DayEnd,upper,501.65,17.55000000000001,631.8000000000004,98088.97999999998
25,PIIND,2022-01-12 15:00:00,2022-01-12 09:45:00,2874.7,2826.0,2022-01-12 09:45:00,2022-01-12 15:00:00,2874.7,2870.25,2870.25,2874.7,DayEnd,lower,2826.0,-4.449999999999818,-44.49999999999818,98088.97999999998
26,GLENMARK,2022-01-12 11:15:00,2022-01-12 09:45:00,520.0,514.6,2022-01-12 09:45:00,2022-01-12 11:15:00,520.0,514.6,514.6,520.0,StopLoss,lower,514.6,-5.399999999999977,-485.99999999999795,98088.97999999998
27,GSPL,2022-01-13 10:00:00,2022-01-13 09:45:00,326.0,323.0,2022-01-13 09:45:00,2022-01-13 10:00:00,326.0,323.0,323.0,326.0,StopLoss,lower,323.0,-3.0,-489.0,98100.78
28,ASIANPAINT,2022-01-13 12:45:00,2022-01-13 09:45:00,3529.4,3515.1,2022-01-13 09:45:00,2022-01-13 12:45:00,3529.4,3515.1,3515.1,3529.4,StopLoss,lower,3515.1,-14.300000000000182,-486.2000000000062,98100.78
29,NATIONALUM,2022-01-13 10:00:00,2022-01-13 14:45:00,113.95,113.25,2022-01-13 10:00:00,2022-01-13 14:45:00,113.25,113.95,113.25,113.95,StopLoss,upper,113.95,-0.7000000000000028,-490.000000000002,98100.78
30,TATAELXSI,2022-01-13 10:00:00,2022-01-13 10:45:00,6328.0,6297.1,2022-01-13 10:00:00,2022-01-13 10:45:00,6297.1,6328.0,6297.1,6328.0,StopLoss,upper,6328.0,-30.899999999999636,-463.49999999999454,98100.78
31,HINDCOPPER,2022-01-13 10:00:00,2022-01-13 15:00:00,139.05,137.5,2022-01-13 10:00:00,2022-01-13 15:00:00,137.5,136.55,137.5,136.55,DayEnd,upper,139.05,0.9499999999999886,300.1999999999964,98100.78
32,TATACHEM,2022-01-14 09:45:00,2022-01-14 15:00:00,1045.25,1035.3,2022-01-14 09:45:00,2022-01-14 15:00:00,1035.3,1032.4,1035.3,1032.4,DayEnd,upper,1045.25,2.8999999999998636,139.19999999999345,96472.28
33,CUMMINSIND,2022-01-14 10:00:00,2022-01-14 15:00:00,1010.25,1002.05,2022-01-14 10:00:00,2022-01-14 15:00:00,1002.05,988.05,1002.05,988.05,DayEnd,upper,1010.25,14.0,812.0,96472.28
34,ACC,2022-01-14 10:15:00,2022-01-14 15:00:00,2366.0,2353.0,2022-01-14 10:15:00,2022-01-14 15:00:00,2353.0,2359.0,2353.0,2359.0,DayEnd,upper,2366.0,-6.0,-222.0,96472.28
35,IRCTC,2022-01-14 10:15:00,2022-01-14 12:15:00,899.8,895.15,2022-01-14 10:15:00,2022-01-14 12:15:00,895.15,899.8,895.15,899.8,StopLoss,upper,899.8,-4.649999999999977,-478.94999999999766,96472.28
36,HCLTECH,2022-01-14 15:00:00,2022-01-14 10:15:00,1299.4,1293.2,2022-01-14 10:15:00,2022-01-14 15:00:00,1299.4,1339.6,1339.6,1299.4,DayEnd,lower,1293.2,40.19999999999982,3095.399999999986,96472.28
37,TATACHEM,2022-01-17 15:00:00,2022-01-17 09:45:00,1016.5,1006.65,2022-01-17 09:45:00,2022-01-17 15:00:00,1016.5,1030.25,1030.25,1016.5,DayEnd,lower,1006.65,13.75,687.5,99817.92999999998
38,AMBUJACEM,2022-01-17 15:00:00,2022-01-17 09:45:00,398.5,395.0,2022-01-17 09:45:00,2022-01-17 15:00:00,398.5,408.25,408.25,398.5,DayEnd,lower,395.0,9.75,1384.5,99817.92999999998
39,BOSCHLTD,2022-01-17 10:00:00,2022-01-17 15:00:00,17846.9,17774.5,2022-01-17 10:00:00,2022-01-17 15:00:00,17774.5,17694.95,17774.5,17694.95,DayEnd,upper,17846.9,79.54999999999927,477.29999999999563,99817.92999999998
40,VEDL,2022-01-17 11:15:00,2022-01-17 10:00:00,326.15,324.75,2022-01-17 10:00:00,2022-01-17 11:15:00,326.15,324.75,324.75,326.15,StopLoss,lower,324.75,-1.3999999999999773,-498.3999999999919,99817.92999999998
41,GAIL,2022-01-17 15:00:00,2022-01-17 10:00:00,95.0,94.4,2022-01-17 10:00:00,2022-01-17 15:00:00,95.0,96.43,96.43,95.0,DayEnd,lower,94.4,1.4300000000000068,1188.3300000000056,99817.92999999998
42,IOC,2022-01-18 09:45:00,2022-01-18 14:30:00,83.4,82.87,2022-01-18 09:45:00,2022-01-18 14:30:00,82.87,83.4,82.87,83.4,StopLoss,upper,83.4,-0.5300000000000011,-515.1600000000011,103057.15999999999
43,M_MFIN,2022-01-18 09:45:00,2022-01-18 15:00:00,171.9,169.55,2022-01-18 09:45:00,2022-01-18 15:00:00,169.55,164.6,169.55,164.6,DayEnd,upper,171.9,4.950000000000017,1084.0500000000038,103057.15999999999
44,BPCL,2022-01-18 09:45:00,2022-01-18 11:15:00,406.75,404.3,2022-01-18 09:45:00,2022-01-18 11:15:00,404.3,406.75,404.3,406.75,StopLoss,upper,406.75,-2.4499999999999886,-514.4999999999976,103057.15999999999
45,MANAPPURAM,2022-01-18 09:45:00,2022-01-18 15:00:00,173.3,171.0,2022-01-18 09:45:00,2022-01-18 15:00:00,171.0,163.3,171.0,163.3,DayEnd,upper,173.3,7.699999999999989,1724.7999999999975,103057.15999999999
46,PRESTIGE,2022-01-18 09:45:00,2022-01-18 15:00:00,544.7,538.05,2022-01-18 09:45:00,2022-01-18 15:00:00,538.05,524.55,538.05,524.55,DayEnd,upper,544.7,13.5,1039.5,103057.15999999999
47,LALPATHLAB,2022-01-19 10:15:00,2022-01-19 09:45:00,3299.8,3256.0,2022-01-19 09:45:00,2022-01-19 10:15:00,3299.8,3256.0,3256.0,3299.8,StopLoss,lower,3256.0,-43.80000000000018,-525.6000000000022,105875.84999999999
48,SYNGENE,2022-01-19 12:15:00,2022-01-19 09:45:00,605.0,591.2,2022-01-19 09:45:00,2022-01-19 12:15:00,605.0,591.2,591.2,605.0,StopLoss,lower,591.2,-13.799999999999955,-524.3999999999983,105875.84999999999
49,IDEA,2022-01-19 15:00:00,2022-01-19 10:00:00,11.75,11.65,2022-01-19 10:00:00,2022-01-19 15:00:00,11.75,11.95,11.95,11.75,DayEnd,lower,11.65,0.1999999999999993,1058.5999999999963,105875.84999999999
50,ISEC,2022-01-19 10:15:00,2022-01-19 10:00:00,795.1,788.1,2022-01-19 10:00:00,2022-01-19 10:15:00,795.1,788.1,788.1,795.1,StopLoss,lower,788.1,-7.0,-525.0,105875.84999999999
51,TATACONSUM,2022-01-20 09:45:00,2022-01-20 15:00:00,742.0,733.65,2022-01-20 09:45:00,2022-01-20 15:00:00,733.65,725.0,733.65,725.0,DayEnd,upper,742.0,8.649999999999977,544.9499999999986,105359.44999999998
52,SYNGENE,2022-01-20 09:45:00,2022-01-20 15:00:00,628.25,616.0,2022-01-20 09:45:00,2022-01-20 15:00:00,616.0,609.05,616.0,609.05,DayEnd,upper,628.25,6.9500000000000455,298.85000000000196,105359.44999999998
53,TATACOMM,2022-01-20 10:30:00,2022-01-20 09:45:00,1489.2,1466.0,2022-01-20 09:45:00,2022-01-20 10:30:00,1489.2,1466.0,1466.0,1489.2,StopLoss,lower,1466.0,-23.200000000000045,-510.400000000001,105359.44999999998
54,CROMPTON,2022-01-20 15:00:00,2022-01-20 09:45:00,433.75,429.2,2022-01-20 09:45:00,2022-01-20 15:00:00,433.75,431.2,431.2,433.75,DayEnd,lower,429.2,-2.5500000000000114,-293.2500000000013,105359.44999999998
55,TATAELXSI,2022-01-21 09:45:00,2022-01-21 15:00:00,7773.65,7694.65,2022-01-21 09:45:00,2022-01-21 15:00:00,7694.65,7310.05,7694.65,7310.05,DayEnd,upper,7773.65,384.59999999999945,2307.5999999999967,105399.59999999998
56,TECHM,2022-01-21 10:00:00,2022-01-21 09:45:00,1634.95,1617.5,2022-01-21 09:45:00,2022-01-21 10:00:00,1634.95,1617.5,1617.5,1634.95,StopLoss,lower,1617.5,-17.450000000000045,-523.5000000000014,105399.59999999998
57,VBL,2022-01-21 13:15:00,2022-01-21 09:45:00,613.93,606.67,2022-01-21 09:45:00,2022-01-21 13:15:00,613.93,606.67,606.67,613.93,StopLoss,lower,606.67,-7.259999999999991,-522.7199999999993,105399.59999999998
58,DRREDDY,2022-01-21 15:00:00,2022-01-21 09:45:00,4496.3,4462.3,2022-01-21 09:45:00,2022-01-21 15:00:00,4496.3,4469.45,4469.45,4496.3,DayEnd,lower,4462.3,-26.850000000000364,-402.75000000000546,105399.59999999998
59,VOLTAS,2022-01-21 11:00:00,2022-01-21 09:45:00,1231.2,1217.2,2022-01-21 09:45:00,2022-01-21 11:00:00,1231.2,1217.2,1217.2,1231.2,StopLoss,lower,1217.2,-14.0,-518.0,105399.59999999998
60,RAMCOCEM,2022-01-24 14:00:00,2022-01-24 09:45:00,909.0,892.25,2022-01-24 09:45:00,2022-01-24 14:00:00,909.0,892.25,892.25,909.0,StopLoss,lower,892.25,-16.75,-519.25,105740.22999999997
61,DMART,2022-01-24 10:00:00,2022-01-24 09:45:00,4182.15,4135.1,2022-01-24 09:45:00,2022-01-24 10:00:00,4182.15,4135.1,4135.1,4182.15,StopLoss,lower,4135.1,-47.04999999999927,-517.549999999992,105740.22999999997
62,ONGC,2022-01-24 10:00:00,2022-01-24 15:00:00,167.45,166.8,2022-01-24 10:00:00,2022-01-24 15:00:00,166.8,165.4,166.8,165.4,DayEnd,upper,167.45,1.4000000000000057,1138.2000000000046,105740.22999999997
63,DIVISLAB,2022-01-24 15:00:00,2022-01-24 10:00:00,3991.4,3935.7,2022-01-24 10:00:00,2022-01-24 15:00:00,3991.4,4015.55,4015.55,3991.4,DayEnd,lower,3935.7,24.15000000000009,217.35000000000082,105740.22999999997
64,ASHOKLEY,2022-01-24 10:15:00,2022-01-24 10:00:00,133.7,132.5,2022-01-24 10:00:00,2022-01-24 10:15:00,133.7,132.5,132.5,133.7,StopLoss,lower,132.5,-1.1999999999999886,-527.999999999995,105740.22999999997
65,MUTHOOTFIN,2022-01-25 10:00:00,2022-01-25 15:00:00,1487.45,1473.0,2022-01-25 10:00:00,2022-01-25 15:00:00,1473.0,1460.65,1473.0,1460.65,DayEnd,upper,1487.45,12.349999999999909,444.5999999999967,105530.97999999998
66,DEEPAKNTR,2022-01-25 10:15:00,2022-01-25 09:45:00,2291.7,2249.85,2022-01-25 09:45:00,2022-01-25 10:15:00,2291.7,2249.85,2249.85,2291.7,StopLoss,lower,2249.85,-41.84999999999991,-502.1999999999989,105530.97999999998
67,ASTRAL,2022-01-25 15:00:00,2022-01-25 09:45:00,2108.25,2078.15,2022-01-25 09:45:00,2022-01-25 15:00:00,2108.25,2115.75,2115.75,2108.25,DayEnd,lower,2078.15,7.5,127.5,105530.97999999998
68,MFSL,2022-01-27 10:00:00,2022-01-27 09:45:00,884.8,878.0,2022-01-27 09:45:00,2022-01-27 10:00:00,884.8,878.0,878.0,884.8,StopLoss,lower,878.0,-6.7999999999999545,-523.5999999999965,105600.87999999998
69,ONGC,2022-01-27 09:45:00,2022-01-27 15:00:00,168.3,167.35,2022-01-27 09:45:00,2022-01-27 15:00:00,167.35,165.55,167.35,165.55,DayEnd,upper,168.3,1.799999999999983,998.9999999999906,105600.87999999998
70,NAUKRI,2022-01-27 12:45:00,2022-01-27 09:45:00,4382.8,4303.55,2022-01-27 09:45:00,2022-01-27 12:45:00,4382.8,4303.55,4303.55,4382.8,StopLoss,lower,4303.55,-79.25,-475.5,105600.87999999998
71,HDFCAMC,2022-01-27 10:45:00,2022-01-27 09:45:00,2165.0,2140.05,2022-01-27 09:45:00,2022-01-27 10:45:00,2165.0,2140.05,2140.05,2165.0,StopLoss,lower,2140.05,-24.949999999999818,-523.9499999999962,105600.87999999998
72,GODREJIND,2022-01-27 10:00:00,2022-01-27 15:00:00,627.5,624.5,2022-01-27 10:00:00,2022-01-27 15:00:00,624.5,621.5,624.5,621.5,DayEnd,upper,627.5,3.0,528.0,105600.87999999998
73,M_M,2022-01-28 10:00:00,2022-01-28 15:00:00,895.65,888.5,2022-01-28 10:00:00,2022-01-28 15:00:00,888.5,869.25,888.5,869.25,DayEnd,upper,895.65,19.25,1405.25,105604.82999999997
74,ONGC,2022-01-28 10:15:00,2022-01-28 15:00:00,174.3,173.15,2022-01-28 10:15:00,2022-01-28 15:00:00,173.15,170.0,173.15,170.0,DayEnd,upper,174.3,3.1500000000000057,1445.8500000000026,105604.82999999997
75,TATAELXSI,2022-01-28 10:15:00,2022-01-28 15:00:00,7375.0,7311.05,2022-01-28 10:15:00,2022-01-28 15:00:00,7311.05,7148.7,7311.05,7148.7,DayEnd,upper,7375.0,162.35000000000036,1298.800000000003,105604.82999999997
76,LICHSGFIN,2022-01-28 10:15:00,2022-01-28 10:45:00,385.2,382.55,2022-01-28 10:15:00,2022-01-28 10:45:00,382.55,385.2,382.55,385.2,StopLoss,upper,385.2,-2.6499999999999773,-527.3499999999955,105604.82999999997
77,INDHOTEL,2022-01-31 09:45:00,2022-01-31 11:00:00,215.9,213.3,2022-01-31 09:45:00,2022-01-31 11:00:00,213.3,215.9,213.3,215.9,StopLoss,upper,215.9,-2.5999999999999943,-545.9999999999989,109227.37999999998
78,APOLLOHOSP,2022-01-31 15:00:00,2022-01-31 09:45:00,4447.85,4375.55,2022-01-31 09:45:00,2022-01-31 15:00:00,4447.85,4462.2,4462.2,4447.85,DayEnd,lower,4375.55,14.349999999999454,100.44999999999618,109227.37999999998
79,VEDL,2022-01-31 10:15:00,2022-01-31 09:45:00,324.6,321.4,2022-01-31 09:45:00,2022-01-31 10:15:00,324.6,321.4,321.4,324.6,StopLoss,lower,321.4,-3.2000000000000455,-544.0000000000077,109227.37999999998
80,MFSL,2022-01-31 10:00:00,2022-01-31 09:45:00,908.6,901.3,2022-01-31 09:45:00,2022-01-31 10:00:00,908.6,901.3,901.3,908.6,StopLoss,lower,901.3,-7.300000000000068,-540.200000000005,109227.37999999998
81,MARICO,2022-01-31 10:00:00,2022-01-31 15:00:00,490.0,488.35,2022-01-31 10:00:00,2022-01-31 15:00:00,488.35,485.3,488.35,485.3,DayEnd,upper,490.0,3.0500000000000114,1006.5000000000038,109227.37999999998
82,AXISBANK,2022-02-01 10:00:00,2022-02-01 11:45:00,790.8,785.85,2022-02-01 10:00:00,2022-02-01 11:45:00,785.85,790.8,785.85,790.8,StopLoss,upper,790.8,-4.949999999999932,-539.5499999999926,108704.12999999996
83,ICICIBANK,2022-02-01 10:00:00,2022-02-01 11:00:00,811.8,810.15,2022-02-01 10:00:00,2022-02-01 11:00:00,810.15,811.8,810.15,811.8,StopLoss,upper,811.8,-1.6499999999999773,-542.8499999999925,108704.12999999996
84,PEL,2022-02-01 10:00:00,2022-02-01 15:00:00,2537.95,2498.0,2022-02-01 10:00:00,2022-02-01 15:00:00,2498.0,2514.0,2498.0,2514.0,DayEnd,upper,2537.95,-16.0,-208.0,108704.12999999996
85,BPCL,2022-02-01 12:30:00,2022-02-01 10:00:00,388.25,387.0,2022-02-01 10:00:00,2022-02-01 12:30:00,388.25,387.0,387.0,388.25,StopLoss,lower,387.0,-1.25,-542.5,108704.12999999996
86,INDUSINDBK,2022-02-01 10:15:00,2022-02-01 11:45:00,901.45,897.2,2022-02-01 10:15:00,2022-02-01 11:45:00,897.2,901.45,897.2,901.45,StopLoss,upper,901.45,-4.25,-539.75,108704.12999999996
87,EICHERMOT,2022-02-02 09:45:00,2022-02-02 15:00:00,2719.0,2702.0,2022-02-02 09:45:00,2022-02-02 15:00:00,2702.0,2668.2,2702.0,2668.2,DayEnd,upper,2719.0,33.80000000000018,1047.8000000000056,106331.47999999998
88,TECHM,2022-02-02 10:00:00,2022-02-02 09:45:00,1469.35,1455.9,2022-02-02 09:45:00,2022-02-02 10:00:00,1469.35,1455.9,1455.9,1469.35,StopLoss,lower,1455.9,-13.449999999999818,-524.5499999999929,106331.47999999998
89,IDFCFIRSTB,2022-02-02 10:00:00,2022-02-02 11:15:00,48.75,48.5,2022-02-02 10:00:00,2022-02-02 11:15:00,48.5,48.75,48.5,48.75,StopLoss,upper,48.75,-0.25,-531.5,106331.47999999998
90,BIOCON,2022-02-02 10:00:00,2022-02-02 15:00:00,389.5,384.5,2022-02-02 10:00:00,2022-02-02 15:00:00,384.5,387.1,384.5,387.1,DayEnd,upper,389.5,-2.6000000000000227,-275.6000000000024,106331.47999999998
91,AUBANK,2022-02-02 10:15:00,2022-02-02 10:45:00,697.0,692.8,2022-02-02 10:15:00,2022-02-02 10:45:00,692.8,697.0,692.8,697.0,StopLoss,upper,697.0,-4.2000000000000455,-529.2000000000057,106331.47999999998
92,TATACONSUM,2022-02-03 09:45:00,2022-02-03 15:00:00,761.2,748.2,2022-02-03 09:45:00,2022-02-03 15:00:00,748.2,741.45,748.2,741.45,DayEnd,upper,761.2,6.75,270.0,105518.43
93,M_MFIN,2022-02-03 10:15:00,2022-02-03 09:45:00,163.3,160.2,2022-02-03 09:45:00,2022-02-03 10:15:00,163.3,160.2,160.2,163.3,StopLoss,lower,160.2,-3.1000000000000227,-527.0000000000039,105518.43
94,MUTHOOTFIN,2022-02-03 11:45:00,2022-02-03 09:45:00,1439.55,1428.05,2022-02-03 09:45:00,2022-02-03 11:45:00,1439.55,1428.05,1428.05,1439.55,StopLoss,lower,1428.05,-11.5,-517.5,105518.43
95,LTIM,2022-02-03 12:15:00,2022-02-03 09:45:00,6294.0,6263.0,2022-02-03 09:45:00,2022-02-03 12:15:00,6294.0,6263.0,6263.0,6294.0,StopLoss,lower,6263.0,-31.0,-527.0,105518.43
96,ESCORTS,2022-02-03 10:00:00,2022-02-03 15:00:00,1875.25,1868.85,2022-02-03 10:00:00,2022-02-03 15:00:00,1868.85,1858.5,1868.85,1858.5,DayEnd,upper,1875.25,10.349999999999909,848.6999999999925,105518.43
97,YESBANK,2022-02-04 09:45:00,2022-02-04 15:00:00,13.8,13.7,2022-02-04 09:45:00,2022-02-04 15:00:00,13.7,13.7,13.7,13.7,DayEnd,upper,13.8,0.0,0.0,105065.62999999998
98,GODREJPROP,2022-02-04 10:15:00,2022-02-04 09:45:00,1574.8,1548.15,2022-02-04 09:45:00,2022-02-04 10:15:00,1574.8,1548.15,1548.15,1574.8,StopLoss,lower,1548.15,-26.649999999999864,-506.3499999999974,105065.62999999998
99,BATAINDIA,2022-02-04 11:45:00,2022-02-04 09:45:00,1975.0,1954.15,2022-02-04 09:45:00,2022-02-04 11:45:00,1975.0,1954.15,1954.15,1975.0,StopLoss,lower,1954.15,-20.84999999999991,-521.2499999999977,105065.62999999998
100,TATASTEEL,2022-02-04 10:00:00,2022-02-04 15:00:00,119.37,118.31,2022-02-04 10:00:00,2022-02-04 15:00:00,118.31,117.51,118.31,117.51,DayEnd,upper,119.37,0.7999999999999972,395.9999999999986,105065.62999999998
101,HINDALCO,2022-02-04 10:00:00,2022-02-04 14:15:00,527.25,523.15,2022-02-04 10:00:00,2022-02-04 14:15:00,523.15,527.25,523.15,527.25,StopLoss,upper,527.25,-4.100000000000023,-524.8000000000029,105065.62999999998
102,POWERGRID,2022-02-07 09:45:00,2022-02-07 11:30:00,213.8,212.35,2022-02-07 09:45:00,2022-02-07 11:30:00,212.35,213.8,212.35,213.8,StopLoss,upper,213.8,-1.450000000000017,-519.100000000006,103909.22999999998
103,SRF,2022-02-07 09:45:00,2022-02-07 15:00:00,2521.85,2492.1,2022-02-07 09:45:00,2022-02-07 15:00:00,2492.1,2455.55,2492.1,2455.55,DayEnd,upper,2521.85,36.54999999999973,621.3499999999954,103909.22999999998
104,GODREJIND,2022-02-07 10:15:00,2022-02-07 10:00:00,597.95,595.25,2022-02-07 10:00:00,2022-02-07 10:15:00,597.95,595.25,595.25,597.95,StopLoss,lower,595.25,-2.7000000000000455,-518.4000000000087,103909.22999999998
105,GODREJCP,2022-02-07 11:30:00,2022-02-07 10:00:00,895.0,889.1,2022-02-07 10:00:00,2022-02-07 11:30:00,895.0,889.1,889.1,895.0,StopLoss,lower,889.1,-5.899999999999977,-519.199999999998,103909.22999999998
106,OBEROIRLTY,2022-02-07 15:00:00,2022-02-07 10:00:00,913.7,905.55,2022-02-07 10:00:00,2022-02-07 15:00:00,913.7,916.3,916.3,913.7,DayEnd,lower,905.55,2.599999999999909,163.79999999999427,103909.22999999998
107,TITAN,2022-02-08 09:45:00,2022-02-08 15:00:00,2447.5,2420.0,2022-02-08 09:45:00,2022-02-08 15:00:00,2420.0,2447.5,2420.0,2447.5,StopLoss,upper,2447.5,-27.5,-495.0,103137.67999999996
108,MANAPPURAM,2022-02-08 09:45:00,2022-02-08 12:00:00,158.65,157.6,2022-02-08 09:45:00,2022-02-08 12:00:00,157.6,158.65,157.6,158.65,StopLoss,upper,158.65,-1.0500000000000114,-515.5500000000056,103137.67999999996
109,CONCOR,2022-02-08 10:30:00,2022-02-08 09:45:00,624.55,618.65,2022-02-08 09:45:00,2022-02-08 10:30:00,624.55,618.65,618.65,624.55,StopLoss,lower,618.65,-5.899999999999977,-513.299999999998,103137.67999999996
110,SIEMENS,2022-02-08 10:00:00,2022-02-08 15:00:00,2490.0,2446.9,2022-02-08 10:00:00,2022-02-08 15:00:00,2446.9,2364.05,2446.9,2364.05,DayEnd,upper,2490.0,82.84999999999991,911.349999999999,103137.67999999996
